id;descripcion;capacidad;regional;ciudad
166;Sal—n 01;20;73;166
167;Sal—n 01;20;25;167
168;Sal—n 01;20;5;168
169;Sal—n 01;20;27;169
170;Sal—n 01;20;5;170
171;Sal—n 01;20;13;171
172;Sal—n 01;20;18;172
173;Sal—n 01;20;76;173
174;Sal—n 01;20;97;174
175;Sal—n 01;20;73;175
176;Sal—n 01;20;50;176
177;Sal—n 01;20;5;177
178;Sal—n 01;20;5;178
179;Sal—n 01;20;68;179
180;Sal—n 01;20;23;180
181;Sal—n 01;20;15;181
182;Sal—n 01;20;68;182
183;Sal—n 01;20;47;183
184;Sal—n 01;20;52;184
185;Sal—n 01;20;25;185
186;Sal—n 01;20;70;186
187;Sal—n 01;20;73;187
188;Sal—n 01;20;68;188
189;Sal—n 01;20;68;189
190;Sal—n 01;20;5;190
191;Sal—n 01;20;68;191
192;Sal—n 01;20;20;192
193;Sal—n 01;20;23;193
194;Sal—n 01;20;15;194
195;Sal—n 01;20;17;195
196;Sal—n 01;20;54;196
197;Sal—n 01;20;23;197
198;Sal—n 01;20;25;198
199;Sal—n 01;20;68;199
200;Sal—n 01;20;15;200
201;Sal—n 01;20;20;201
202;Sal—n 01;20;15;202
203;Sal—n 01;20;15;203
204;Sal—n 01;20;54;204
205;Sal—n 01;20;15;205
206;Sal—n 01;20;15;206
207;Sal—n 01;20;47;207
208;Sal—n 01;20;25;208
209;Sal—n 01;20;25;209
210;Sal—n 01;20;85;210
211;Sal—n 01;20;25;211
212;Sal—n 01;20;15;212
213;Sal—n 01;20;15;213
214;Sal—n 01;20;13;214
215;Sal—n 01;20;68;215
216;Sal—n 01;20;63;216
217;Sal—n 01;20;5;217
218;Sal—n 01;20;15;218
219;Sal—n 01;20;47;219
220;Sal—n 01;20;23;220
221;Sal—n 01;20;13;221
222;Sal—n 01;20;5;222
223;Sal—n 01;20;73;223
224;Sal—n 01;20;25;224
225;Sal—n 01;20;41;225
226;Sal—n 01;20;70;226
227;Sal—n 01;20;86;227
228;Sal—n 01;20;52;228
229;Sal—n 01;20;5;229
230;Sal—n 01;20;68;230
231;Sal—n 01;20;5;231
232;Sal—n 01;20;47;232
233;Sal—n 01;20;27;233
234;Sal—n 01;20;68;234
235;Sal—n 01;20;52;235
236;Sal—n 01;20;52;236
237;Sal—n 01;20;68;237
238;Sal—n 01;20;54;238
239;Sal—n 01;20;5;239
240;Sal—n 01;20;15;240
241;Sal—n 01;20;63;241
242;Sal—n 01;20;19;242
243;Sal—n 01;20;68;243
244;Sal—n 01;20;70;244
245;Sal—n 01;20;15;245
246;Sal—n 01;20;25;246
247;Sal—n 01;20;23;247
248;Sal—n 01;20;15;248
249;Sal—n 01;20;70;249
250;Sal—n 01;20;73;250
251;Sal—n 01;20;81;251
252;Sal—n 01;20;52;252
253;Sal—n 01;20;50;253
254;Sal—n 01;20;15;254
255;Sal—n 01;20;15;255
256;Sal—n 01;20;25;256
257;Sal—n 01;20;54;257
258;Sal—n 01;20;15;258
259;Sal—n 01;20;50;259
260;Sal—n 01;20;99;260
261;Sal—n 01;20;52;261
262;Sal—n 01;20;52;262
263;Sal—n 01;20;73;263
264;Sal—n 01;20;18;264
265;Sal—n 01;20;68;265
266;Sal—n 01;20;20;266
267;Sal—n 01;20;5;267
268;Sal—n 01;20;54;268
269;Sal—n 01;20;54;269
270;Sal—n 01;20;25;270
271;Sal—n 01;20;27;271
272;Sal—n 01;20;15;272
273;Sal—n 01;20;13;273
274;Sal—n 01;20;52;274
275;Sal—n 01;20;54;275
276;Sal—n 01;20;5;276
277;Sal—n 01;20;76;277
278;Sal—n 01;20;44;278
279;Sal—n 01;20;44;279
280;Sal—n 01;20;73;280
281;Sal—n 01;20;5;281
282;Sal—n 01;20;66;282
283;Sal—n 01;20;15;283
284;Sal—n 01;20;54;284
285;Sal—n 01;20;5;285
286;Sal—n 01;20;5;286
287;Sal—n 01;20;47;287
288;Sal—n 01;20;76;288
289;Sal—n 01;20;50;289
290;Sal—n 01;20;54;290
291;Sal—n 01;20;68;291
292;Sal—n 01;20;27;292
293;Sal—n 01;20;13;293
294;Sal—n 01;20;50;294
295;Sal—n 01;20;76;295
296;Sal—n 01;20;52;296
297;Sal—n 01;20;15;297
298;Sal—n 01;20;25;298
299;Sal—n 01;20;20;299
300;Sal—n 01;20;18;300
301;Sal—n 01;20;50;301
302;Sal—n 01;20;76;302
303;Sal—n 01;20;15;303
304;Sal—n 01;20;68;304
305;Sal—n 01;20;13;305
306;Sal—n 01;20;44;306
307;Sal—n 01;20;20;307
308;Sal—n 01;20;18;308
309;Sal—n 01;20;52;309
310;Sal—n 01;20;13;310
311;Sal—n 01;20;68;311
312;Sal—n 01;20;25;312
313;Sal—n 01;20;47;313
314;Sal—n 01;20;68;314
315;Sal—n 01;20;95;315
316;Sal—n 01;20;47;316
317;Sal—n 01;20;70;317
318;Sal—n 01;20;25;318
319;Sal—n 01;20;52;319
320;Sal—n 01;20;52;320
321;Sal—n 01;20;19;321
322;Sal—n 01;20;52;322
323;Sal—n 01;20;54;323
324;Sal—n 01;20;54;324
325;Sal—n 01;20;76;325
326;Sal—n 01;20;41;326
327;Sal—n 01;20;68;327
328;Sal—n 01;20;68;328
329;Sal—n 01;20;5;329
330;Sal—n 01;20;5;330
331;Sal—n 01;20;73;331
332;Sal—n 01;20;25;332
333;Sal—n 01;20;73;333
334;Sal—n 01;20;17;334
335;Sal—n 01;20;63;335
336;Sal—n 01;20;15;336
337;Sal—n 01;20;73;337
338;Sal—n 01;20;18;338
339;Sal—n 01;20;19;339
340;Sal—n 01;20;15;340
341;Sal—n 01;20;76;341
342;Sal—n 01;20;68;342
343;Sal—n 01;20;68;343
344;Sal—n 01;20;44;344
345;Sal—n 01;20;81;345
346;Sal—n 01;20;25;346
347;Sal—n 01;20;52;347
348;Sal—n 01;20;5;348
349;Sal—n 01;20;73;349
350;Sal—n 01;20;5;350
351;Sal—n 01;20;50;351
352;Sal—n 01;20;47;352
353;Sal—n 01;20;52;353
354;Sal—n 01;20;25;354
355;Sal—n 01;20;25;355
356;Sal—n 01;20;25;356
357;Sal—n 01;20;25;357
358;Sal—n 01;20;25;358
359;Sal—n 01;20;25;359
360;Sal—n 01;20;15;360
361;Sal—n 01;20;25;361
362;Sal—n 01;20;8;362
363;Sal—n 01;20;70;363
364;Sal—n 01;20;68;364
365;Sal—n 01;20;25;365
366;Sal—n 01;20;20;366
367;Sal—n 01;20;15;367
368;Sal—n 01;20;41;368
369;Sal—n 01;20;41;369
370;Sal—n 01;20;76;370
371;Sal—n 01;20;5;371
372;Sal—n 01;20;25;372
373;Sal—n 01;20;5;373
374;Sal—n 01;20;68;374
375;Sal—n 01;20;20;375
376;Sal—n 01;20;54;376
377;Sal—n 01;20;5;377
378;Sal—n 01;20;25;378
379;Sal—n 01;20;50;379
380;Sal—n 01;20;68;380
381;Sal—n 01;20;15;381
382;Sal—n 01;20;76;382
383;Sal—n 01;20;52;383
384;Sal—n 01;20;19;384
385;Sal—n 01;20;25;385
386;Sal—n 01;20;52;386
387;Sal—n 01;20;5;387
388;Sal—n 01;20;41;388
389;Sal—n 01;20;68;389
390;Sal—n 01;20;25;390
391;Sal—n 01;20;52;391
392;Sal—n 01;20;52;392
393;Sal—n 01;20;47;393
394;Sal—n 01;20;50;394
395;Sal—n 01;20;73;395
396;Sal—n 01;20;68;396
397;Sal—n 01;20;19;397
398;Sal—n 01;20;70;398
399;Sal—n 01;20;5;399
400;Sal—n 01;20;25;400
401;Sal—n 01;20;5;401
402;Sal—n 01;20;25;402
403;Sal—n 01;20;25;403
404;Sal—n 01;20;15;404
405;Sal—n 01;20;68;405
406;Sal—n 01;20;25;406
407;Sal—n 01;20;25;407
408;Sal—n 01;20;15;408
409;Sal—n 01;20;68;409
410;Sal—n 01;20;15;410
411;Sal—n 01;20;25;411
412;Sal—n 01;20;66;412
413;Sal—n 01;20;68;413
414;Sal—n 01;20;15;414
415;Sal—n 01;20;63;415
416;Sal—n 01;20;5;416
417;Sal—n 01;20;54;417
418;Sal—n 01;20;13;418
419;Sal—n 01;20;68;419
420;Sal—n 01;20;85;420
421;Sal—n 01;20;44;421
422;Sal—n 01;20;5;422
423;Sal—n 01;20;54;423
424;Sal—n 01;20;73;424
425;Sal—n 01;20;5;425
426;Sal—n 01;20;41;426
427;Sal—n 01;20;73;427
428;Sal—n 01;20;73;428
429;Sal—n 01;20;73;429
430;Sal—n 01;20;52;430
431;Sal—n 01;20;52;431
432;Sal—n 01;20;19;432
433;Sal—n 01;20;94;433
434;Sal—n 01;20;52;434
435;Sal—n 01;20;41;435
436;Sal—n 01;20;27;436
437;Sal—n 01;20;5;437
438;Sal—n 01;20;5;438
439;Sal—n 01;20;15;439
440;Sal—n 01;20;19;440
441;Sal—n 01;20;76;441
442;Sal—n 01;20;5;442
443;Sal—n 01;20;15;443
444;Sal—n 01;20;5;444
445;Sal—n 01;20;15;445
446;Sal—n 01;20;25;446
447;Sal—n 01;20;68;447
448;Sal—n 01;20;68;448
449;Sal—n 01;20;8;449
450;Sal—n 01;20;25;450
451;Sal—n 01;20;27;451
452;Sal—n 01;20;23;452
453;Sal—n 01;20;41;453
454;Sal—n 01;20;68;454
455;Sal—n 01;20;25;455
456;Sal—n 01;20;15;456
457;Sal—n 01;20;5;457
458;Sal—n 01;20;66;458
459;Sal—n 01;20;52;459
460;Sal—n 01;20;76;460
461;Sal—n 01;20;17;461
462;Sal—n 01;20;54;462
463;Sal—n 01;20;5;463
464;Sal—n 01;20;52;464
465;Sal—n 01;20;20;465
466;Sal—n 01;20;20;466
467;Sal—n 01;20;44;467
468;Sal—n 01;20;52;468
469;Sal—n 01;20;50;469
470;Sal—n 01;20;17;470
471;Sal—n 01;20;25;471
472;Sal—n 01;20;18;472
473;Sal—n 01;20;25;473
474;Sal—n 01;20;68;474
475;Sal—n 01;20;20;475
476;Sal—n 01;20;25;476
477;Sal—n 01;20;5;477
478;Sal—n 01;20;41;478
479;Sal—n 01;20;54;479
480;Sal—n 01;20;99;480
481;Sal—n 01;20;85;481
482;Sal—n 01;20;19;482
483;Sal—n 01;20;63;483
484;Sal—n 01;20;52;484
485;Sal—n 01;20;5;485
486;Sal—n 01;20;52;486
487;Sal—n 01;20;70;487
488;Sal—n 01;20;76;488
489;Sal—n 01;20;15;489
490;Sal—n 01;20;19;490
491;Sal—n 01;20;25;491
492;Sal—n 01;20;15;492
493;Sal—n 01;20;17;493
494;Sal—n 01;20;76;494
495;Sal—n 01;20;66;495
496;Sal—n 01;20;54;496
497;Sal—n 01;20;15;497
498;Sal—n 01;20;68;498
499;Sal—n 01;20;68;499
500;Sal—n 01;20;52;500
501;Sal—n 01;20;50;501
502;Sal—n 01;20;25;502
503;Sal—n 01;20;91;503
504;Sal—n 01;20;5;504
505;Sal—n 01;20;52;505
506;Sal—n 01;20;27;506
507;Sal—n 01;20;23;507
508;Sal—n 01;20;23;508
509;Sal—n 01;20;70;509
510;Sal—n 01;20;54;510
511;Sal—n 01;20;68;511
512;Sal—n 01;20;54;512
513;Sal—n 01;20;8;513
514;Sal—n 01;20;73;514
515;Sal—n 01;20;73;515
516;Sal—n 01;20;19;516
517;Sal—n 01;20;15;517
518;Sal—n 01;20;68;518
519;Sal—n 01;20;5;519
520;Sal—n 01;20;25;520
521;Sal—n 01;20;25;521
522;Sal—n 01;20;13;522
523;Sal—n 01;20;52;523
524;Sal—n 01;20;13;524
525;Sal—n 01;20;44;525
526;Sal—n 01;20;70;526
527;Sal—n 01;20;8;527
528;Sal—n 01;20;52;528
529;Sal—n 01;20;8;529
530;Sal—n 01;20;44;530
531;Sal—n 01;20;20;531
532;Sal—n 01;20;17;532
533;Sal—n 01;20;25;533
534;Sal—n 01;20;17;534
535;Sal—n 01;20;85;535
536;Sal—n 01;20;50;536
537;Sal—n 01;20;13;537
538;Sal—n 01;20;5;538
539;Sal—n 01;20;15;539
540;Sal—n 01;20;73;540
541;Sal—n 01;20;17;541
542;Sal—n 01;20;17;542
543;Sal—n 01;20;66;543
544;Sal—n 01;20;17;544
545;Sal—n 01;20;13;545
546;Sal—n 01;20;68;546
547;Sal—n 01;20;5;547
548;Sal—n 01;20;25;548
549;Sal—n 01;20;27;549
550;Sal—n 01;20;27;550
551;Sal—n 01;20;27;551
552;Sal—n 01;20;73;552
553;Sal—n 01;20;19;553
554;Sal—n 01;20;50;554
555;Sal—n 01;20;18;555
556;Sal—n 01;20;15;556
557;Sal—n 01;20;95;557
558;Sal—n 01;20;19;558
559;Sal—n 01;20;66;559
560;Sal—n 01;20;97;560
561;Sal—n 01;20;86;561
562;Sal—n 01;20;68;562
563;Sal—n 01;20;68;563
564;Sal—n 01;20;23;564
565;Sal—n 01;20;13;565
566;Sal—n 01;20;15;566
567;Sal—n 01;20;15;567
568;Sal—n 01;20;15;568
569;Sal—n 01;20;5;569
570;Sal—n 01;20;13;570
571;Sal—n 01;20;23;571
572;Sal—n 01;20;63;572
573;Sal—n 01;20;23;573
574;Sal—n 01;20;85;574
575;Sal—n 01;20;13;575
576;Sal—n 01;20;19;576
577;Sal—n 01;20;18;577
578;Sal—n 01;20;70;578
579;Sal—n 01;20;25;579
580;Sal—n 01;20;52;580
581;Sal—n 01;20;15;581
582;Sal—n 01;20;23;582
583;Sal—n 01;20;73;583
584;Sal—n 01;20;5;584
585;Sal—n 01;20;5;585
586;Sal—n 01;20;54;586
587;Sal—n 01;20;15;587
588;Sal—n 01;20;68;588
589;Sal—n 01;20;5;589
590;Sal—n 01;20;25;590
591;Sal—n 01;20;52;591
592;Sal—n 01;20;73;592
593;Sal—n 01;20;5;593
594;Sal—n 01;20;5;594
595;Sal—n 01;20;17;595
596;Sal—n 01;20;41;596
597;Sal—n 01;20;25;597
598;Sal—n 01;20;25;598
599;Sal—n 01;20;25;599
600;Sal—n 01;20;15;600
601;Sal—n 01;20;25;601
602;Sal—n 01;20;17;602
603;Sal—n 01;20;13;603
604;Sal—n 01;20;27;604
605;Sal—n 01;20;47;605
606;Sal—n 01;20;15;606
607;Sal—n 01;20;85;607
608;Sal—n 01;20;27;608
609;Sal—n 01;20;41;609
610;Sal—n 01;20;76;610
611;Sal—n 01;20;68;611
612;Sal—n 01;20;54;612
613;Sal—n 01;20;68;613
614;Sal—n 01;20;15;614
615;Sal—n 01;20;5;615
616;Sal—n 01;20;52;616
617;Sal—n 01;20;68;617
618;Sal—n 01;20;41;618
619;Sal—n 01;20;86;619
620;Sal—n 01;20;85;620
621;Sal—n 01;20;73;621
622;Sal—n 01;20;52;622
623;Sal—n 01;20;15;623
624;Sal—n 01;20;70;624
625;Sal—n 01;20;15;625
626;Sal—n 01;20;25;626
627;Sal—n 01;20;19;627
628;Sal—n 01;20;41;628
629;Sal—n 01;20;20;629
630;Sal—n 01;20;25;630
631;Sal—n 01;20;15;631
632;Sal—n 01;20;15;632
633;Sal—n 01;20;41;633
634;Sal—n 01;20;17;634
635;Sal—n 01;20;41;635
636;Sal—n 01;20;68;636
637;Sal—n 01;20;8;637
638;Sal—n 01;20;68;638
639;Sal—n 01;20;76;639
640;Sal—n 01;20;70;640
641;Sal—n 01;20;73;641
642;Sal—n 01;20;54;642
643;Sal—n 01;20;54;643
644;Sal—n 01;20;25;644
645;Sal—n 01;20;15;645
646;Sal—n 01;20;25;646
647;Sal—n 01;20;25;647
648;Sal—n 01;20;19;648
649;Sal—n 01;20;15;649
650;Sal—n 01;20;15;650
651;Sal—n 01;20;85;651
652;Sal—n 01;20;15;652
653;Sal—n 01;20;47;653
654;Sal—n 01;20;20;654
655;Sal—n 01;20;17;655
656;Sal—n 01;20;5;656
657;Sal—n 01;20;66;657
658;Sal—n 01;20;15;658
659;Sal—n 01;20;5;659
660;Sal—n 01;20;19;660
661;Sal—n 01;20;68;661
662;Sal—n 01;20;73;662
663;Sal—n 01;20;19;663
664;Sal—n 01;20;63;664
665;Sal—n 01;20;47;665
666;Sal—n 01;20;68;666
667;Sal—n 01;20;13;667
668;Sal—n 01;20;8;668
669;Sal—n 01;20;15;669
670;Sal—n 01;20;41;670
671;Sal—n 01;20;41;671
672;Sal—n 01;20;47;672
673;Sal—n 01;20;73;673
674;Sal—n 01;20;23;674
675;Sal—n 01;20;47;675
676;Sal—n 01;20;52;676
677;Sal—n 01;20;8;677
678;Sal—n 01;20;8;678
679;Sal—n 01;20;19;679
680;Sal—n 01;20;85;680
681;Sal—n 01;20;52;681
682;Sal—n 01;20;76;682
683;Sal—n 01;20;73;683
684;Sal—n 01;20;52;684
685;Sal—n 01;20;88;685
686;Sal—n 01;20;20;686
687;Sal—n 01;20;23;687
688;Sal—n 01;20;66;688
689;Sal—n 01;20;5;689
690;Sal—n 01;20;47;690
691;Sal—n 01;20;68;691
692;Sal—n 01;20;52;692
693;Sal—n 01;20;86;693
694;Sal—n 01;20;5;694
695;Sal—n 01;20;15;695
696;Sal—n 01;20;86;696
697;Sal—n 01;20;99;697
698;Sal—n 01;20;8;698
699;Sal—n 01;20;50;699
700;Sal—n 01;20;23;700
701;Sal—n 01;20;50;701
702;Sal—n 01;20;86;702
703;Sal—n 01;20;86;703
704;Sal—n 01;20;23;704
705;Sal—n 01;20;50;705
706;Sal—n 01;20;50;706
707;Sal—n 01;20;5;707
708;Sal—n 01;20;91;708
709;Sal—n 01;20;68;709
710;Sal—n 01;20;18;710
711;Sal—n 01;20;50;711
712;Sal—n 01;20;81;712
713;Sal—n 01;20;25;713
714;Sal—n 01;20;54;714
715;Sal—n 01;20;19;715
716;Sal—n 01;20;5;716
717;Sal—n 01;20;68;717
718;Sal—n 01;20;25;718
719;Sal—n 01;20;52;719
720;Sal—n 01;20;19;720
721;Sal—n 01;20;73;721
722;Sal—n 01;20;23;722
723;Sal—n 01;20;17;723
724;Sal—n 01;20;15;724
725;Sal—n 01;20;19;725
726;Sal—n 01;20;68;726
727;Sal—n 01;20;25;727
728;Sal—n 01;20;25;728
729;Sal—n 01;20;27;729
730;Sal—n 01;20;63;730
731;Sal—n 01;20;66;731
732;Sal—n 01;20;15;732
733;Sal—n 01;20;25;733
734;Sal—n 01;20;54;734
735;Sal—n 01;20;15;735
736;Sal—n 01;20;85;736
737;Sal—n 01;20;13;737
738;Sal—n 01;20;5;738
739;Sal—n 01;20;47;739
740;Sal—n 01;20;8;740
741;Sal—n 01;20;50;741
742;Sal—n 01;20;76;742
743;Sal—n 01;20;5;743
744;Sal—n 01;20;25;744
745;Sal—n 01;20;52;745
746;Sal—n 01;20;68;746
747;Sal—n 01;20;73;747
748;Sal—n 01;20;76;748
749;Sal—n 01;20;44;749
750;Sal—n 01;20;17;750
751;Sal—n 01;20;41;751
752;Sal—n 01;20;52;752
753;Sal—n 01;20;76;753
754;Sal—n 01;20;73;754
755;Sal—n 01;20;15;755
756;Sal—n 01;20;19;756
757;Sal—n 01;20;73;757
758;Sal—n 01;20;15;758
759;Sal—n 01;20;27;759
760;Sal—n 01;20;27;760
761;Sal—n 01;20;17;761
762;Sal—n 01;20;13;762
763;Sal—n 01;20;20;763
764;Sal—n 01;20;5;764
765;Sal—n 01;20;27;765
766;Sal—n 01;20;68;766
767;Sal—n 01;20;8;767
768;Sal—n 01;20;5;768
769;Sal—n 01;20;8;769
770;Sal—n 01;20;85;770
771;Sal—n 01;20;47;771
772;Sal—n 01;20;5;772
773;Sal—n 01;20;15;773
774;Sal—n 01;20;23;774
775;Sal—n 01;20;41;775
776;Sal—n 01;20;17;776
777;Sal—n 01;20;47;777
778;Sal—n 01;20;54;778
779;Sal—n 01;20;73;779
780;Sal—n 01;20;63;780
781;Sal—n 01;20;5;781
782;Sal—n 01;20;15;782
783;Sal—n 01;20;52;783
784;Sal—n 01;20;17;784
785;Sal—n 01;20;70;785
786;Sal—n 01;20;41;786
787;Sal—n 01;20;20;787
788;Sal—n 01;20;68;788
789;Sal—n 01;20;23;789
790;Sal—n 01;20;5;790
791;Sal—n 01;20;23;791
792;Sal—n 01;20;73;792
793;Sal—n 01;20;25;793
794;Sal—n 01;20;68;794
795;Sal—n 01;20;70;795
796;Sal—n 01;20;25;796
797;Sal—n 01;20;52;797
798;Sal—n 01;20;23;798
799;Sal—n 01;20;54;799
800;Sal—n 01;20;5;800
801;Sal—n 01;20;23;801
802;Sal—n 01;20;50;802
803;Sal—n 01;20;25;803
804;Sal—n 01;20;54;804
805;Sal—n 01;20;13;805
806;Sal—n 01;20;20;806
807;Sal—n 01;20;15;807
808;Sal—n 01;20;13;808
809;Sal—n 01;20;13;809
810;Sal—n 01;20;5;810
811;Sal—n 01;20;25;811
812;Sal—n 01;20;86;812
813;Sal—n 01;20;68;813
814;Sal—n 01;20;13;814
815;Sal—n 01;20;13;815
816;Sal—n 01;20;5;816
817;Sal—n 01;20;68;817
818;Sal—n 01;20;17;818
819;Sal—n 01;20;68;819
820;Sal—n 01;20;5;820
821;Sal—n 01;20;15;821
822;Sal—n 01;20;23;822
823;Sal—n 01;20;18;823
824;Sal—n 01;20;95;824
825;Sal—n 01;20;27;825
826;Sal—n 01;20;50;826
827;Sal—n 01;20;70;827
828;Sal—n 01;20;13;828
829;Sal—n 01;20;52;829
830;Sal—n 01;20;25;830
831;Sal—n 01;20;5;831
832;Sal—n 01;20;44;832
833;Sal—n 01;20;50;833
834;Sal—n 01;20;52;834
835;Sal—n 01;20;73;835
836;Sal—n 01;20;5;836
837;Sal—n 01;20;15;837
838;Sal—n 01;20;85;838
839;Sal—n 01;20;70;839
840;Sal—n 01;20;20;840
841;Sal—n 01;20;50;841
842;Sal—n 01;20;13;842
843;Sal—n 01;20;15;843
844;Sal—n 01;20;68;844
845;Sal—n 01;20;86;845
846;Sal—n 01;20;15;846
847;Sal—n 01;20;70;847
848;Sal—n 01;20;13;848
849;Sal—n 01;20;52;849
850;Sal—n 01;20;15;850
851;Sal—n 01;20;5;851
852;Sal—n 01;20;70;852
853;Sal—n 01;20;76;853
854;Sal—n 01;20;52;854
855;Sal—n 01;20;5;855
856;Sal—n 01;20;23;856
857;Sal—n 01;20;5;857
858;Sal—n 01;20;5;858
859;Sal—n 01;20;19;859
860;Sal—n 01;20;47;860
861;Sal—n 01;20;5;861
862;Sal—n 01;20;18;862
863;Sal—n 01;20;68;863
864;Sal—n 01;20;47;864
865;Sal—n 01;20;52;865
866;Sal—n 01;20;47;866
867;Sal—n 01;20;5;867
868;Sal—n 01;20;68;868
869;Sal—n 01;20;52;869
870;Sal—n 01;20;47;870
871;Sal—n 01;20;13;871
872;Sal—n 01;20;5;872
873;Sal—n 01;20;27;873
874;Sal—n 01;20;68;874
875;Sal—n 01;20;73;875
876;Sal—n 01;20;8;876
877;Sal—n 01;20;47;877
878;Sal—n 01;20;15;878
879;Sal—n 01;20;41;879
880;Sal—n 01;20;13;880
881;Sal—n 01;20;19;881
882;Sal—n 01;20;66;882
